observation,prediction
22.1,17.9707745128
10.4,9.1479740484
9.3,7.85022376458
18.5,14.2343945747
12.9,15.6272181394
7.2,7.44616232089
11.8,9.76595037403
13.2,12.7464977292
4.8,7.44140865685
10.6,16.5304143076
8.6,10.1747654818
17.4,17.2387102501
9.2,8.16396559143
9.7,11.6674159913
19.0,16.7348218615
22.4,16.3212530897
12.5,10.2555777705
24.4,20.409404167
11.3,10.3221290671
14.6,14.0347406849
18.0,17.4145958197
12.5,18.3177919879
5.6,7.66007720284
15.5,17.88520856
9.7,9.9941262481
12.0,19.529976319
15.0,13.825579467
15.9,18.4461409171
18.9,18.8597096889
10.5,10.3886803637
21.4,20.956075532
11.9,12.399480254
9.6,11.6531549992
17.4,19.6583252481
9.5,11.5818500386
12.8,20.851494923
25.4,19.7201228807
14.7,10.5835805895
10.1,9.08142275179
21.5,17.8709475679
16.6,16.6587632368
17.1,15.4465789058
20.7,20.9893511803
12.9,16.8679244547
8.5,8.225763224
14.9,15.3562592889
10.6,11.296630196
23.2,18.436633589
14.8,17.8329182555
9.7,10.2127947941
11.4,16.5304143076
10.7,11.8052722486
22.6,17.3195225388
21.2,15.7127840922
20.2,19.5204689909
23.7,16.4876313313
5.5,7.37961102429
13.2,13.5070839761
23.8,17.0533173524
18.4,17.0485636884
8.1,9.57580381229
24.2,19.4539176943
15.7,18.4081116047
14.0,11.9146065216
18.0,13.2646471099
9.3,10.312621739
9.5,8.52999772277
13.4,13.6544475614
18.9,18.3177919879
22.3,17.338537195
18.3,16.4971386593
12.4,12.2521166687
8.8,8.30657551273
11.0,13.1838348212
17.0,17.1769126175
8.7,7.83596277245
6.9,8.33985116104
14.2,12.7607587213
5.3,7.28929140747
11.0,12.5468438394
11.8,10.6643928782
12.3,18.431879925
11.3,10.6121025737
13.6,10.2840997547
21.7,17.1816662816
15.2,16.2166724808
12.0,10.6596392142
16.0,12.2948996451
12.9,11.2300788994
16.7,12.2521166687
11.2,13.4167643593
7.3,8.39214146551
19.4,17.3813201714
22.2,18.9595366338
11.5,12.1380287316
16.9,14.7953269318
11.7,16.4258336987
15.5,15.8221183652
25.4,20.8039582826
17.2,13.4595473357
11.7,17.6047423814
23.8,21.1224537735
14.8,20.3523601985
14.7,15.9647282865
20.7,18.3558213003
19.2,13.5878962648
7.2,8.22100955995
8.7,11.3299058443
5.3,7.6553235388
19.8,19.1734515157
13.4,17.7663669589
21.8,18.5221995418
14.1,15.3847812732
15.9,16.9962733839
14.6,10.749958831
12.6,10.6025952456
12.2,13.6496938974
9.4,10.6643928782
15.9,13.0079492516
6.6,7.95480437353
15.5,13.7495208423
7.0,7.92628238927
11.6,17.6808010061
15.2,12.8843539864
19.7,17.9422525285
10.6,11.1777885949
6.6,7.40337934451
8.8,10.8450321119
24.7,17.5049154365
9.7,9.86577731894
1.6,7.06586919743
12.7,19.639310592
5.7,7.43190132877
19.6,17.4811471163
10.8,8.78669558111
11.6,9.32861328204
9.5,8.24953154421
20.8,20.0433720356
9.6,9.07666908775
20.7,15.8221183652
10.9,10.5217829569
19.2,16.240440801
20.1,17.5144227646
10.4,12.0049261384
11.4,11.6056183588
10.3,13.7019842019
13.2,18.4461409171
25.4,18.5935045024
10.9,8.83898588558
10.1,9.15748137648
16.1,20.3761285187
11.6,12.7845270415
16.6,16.4258336987
19.0,15.1756200553
15.6,15.9599746224
3.2,7.2274937749
15.3,11.4962840858
10.1,14.153582286
7.3,7.58877224219
12.9,13.2931690942
14.4,15.2326640238
13.3,11.1064836342
14.9,15.9884966067
18.0,14.8048342599
11.9,12.6038878079
11.9,18.1799357307
8.0,7.88349941288
12.2,16.8631707907
17.1,17.2719858984
15.0,20.5472604242
8.4,9.40942557078
14.5,14.8523709004
7.6,7.96431170161
11.7,15.037763798
11.5,17.6047423814
27.0,20.195489285
20.2,18.8406950327
11.7,15.1233297508
11.8,20.1859819569
12.6,14.9046612048
10.5,14.4768314409
12.2,17.4193494837
8.7,9.70415274146
26.2,20.7041313377
17.6,19.097392891
22.6,16.7776048379
10.3,13.6639548895
17.3,16.1168455359
15.9,20.628072713
6.7,7.92152872523
10.8,8.91029084623
9.9,10.6216099018
5.9,7.85022376458
19.6,14.9617051734
17.3,14.148828622
7.6,8.84849321367
9.7,11.5105450779
12.8,15.4465789058
25.5,20.5139847759
13.4,18.0658477936
