$ benchcmp -mag -changed log-bench-2016-07-11-1221-e572829f log-bench-2016-07-24-1458-74c3b196
benchmark                                         old ns/op     new ns/op     delta
BenchmarkBTreePut1-4                              18052         666           -96.31%
BenchmarkBTreePut8-4                              18069         678           -96.25%
BenchmarkBTreePut16-4                             17939         724           -95.96%
BenchmarkBTreePut32-4                             18523         1353          -92.70%
BenchmarkAllocatorRndFreeSimpleFileFiler1e1-4     6973          3415          -51.03%
BenchmarkAllocatorRndFreeRollbackFiler0-4         1453839       717344        -50.66%
BenchmarkAllocatorRndFreeSimpleFileFiler0-4       6806          3407          -49.94%
BenchmarkAllocatorRndFreeSimpleFileFiler1e3-4     7942          3997          -49.67%
BenchmarkAllocatorAllocRollbackFiler1e1-4         1279565       651636        -49.07%
BenchmarkAllocatorRndFreeSimpleFileFiler1e2-4     7411          3812          -48.56%
BenchmarkAllocatorRndGetSimpleFileFiler1e3-4      2080          1095          -47.36%
BenchmarkAllocatorRndFreeRollbackFiler1e1-4       1364247       719511        -47.26%
BenchmarkAllocatorRndGetSimpleFileFiler1e2-4      1641          868           -47.11%
BenchmarkBTreeGet32-4                             350           652           +86.29%
BenchmarkAllocatorAllocRollbackFiler0-4           1226959       660623        -46.16%
BenchmarkBTreeGet1-4                              306           567           +85.29%
BenchmarkAllocatorRndFreeRollbackFiler1e2-4       1372538       761810        -44.50%
BenchmarkBTreeSetSimpleFileFiler1e2-4             43789         24569         -43.89%
BenchmarkAllocatorAllocRollbackFiler1e2-4         1255146       714241        -43.09%
BenchmarkBTreeSetRollbackFiler1e3-4               1974529       1144561       -42.03%
BenchmarkBTreeSetSimpleFileFiler1e3-4             43770         25663         -41.37%
BenchmarkBTreeGet8-4                              207           352           +70.05%
BenchmarkBTreeSetSimpleFileFiler0-4               38033         22635         -40.49%
BenchmarkBTreeSetSimpleFileFiler1e1-4             38035         22708         -40.30%
BenchmarkAllocatorRndFreeRollbackFiler1e3-4       1486691       893780        -39.88%
BenchmarkBTreeSetRollbackFiler1e1-4               1470871       892358        -39.33%
BenchmarkBTreeGet16-4                             223           363           +62.78%
BenchmarkBTreeSetRollbackFiler1e2-4               1589581       982970        -38.16%
BenchmarkAllocatorAllocRollbackFiler1e3-4         1375172       859304        -37.51%
BenchmarkBTreeSetRollbackFiler0-4                 1455317       921016        -36.71%
BenchmarkAllocatorAllocSimpleFileFiler1e1-4       1302          829           -36.33%
BenchmarkAllocatorAllocSimpleFileFiler1e2-4       1364          882           -35.34%
BenchmarkAllocatorAllocSimpleFileFiler0-4         1281          866           -32.40%
BenchmarkAllocatorRndGetRollbackFiler1e3-4        4440          3057          -31.15%
BenchmarkAllocatorRndGetSimpleFileFiler1e1-4      810           565           -30.25%
BenchmarkAllocatorRndGetSimpleFileFiler0-4        802           574           -28.43%
BenchmarkAllocatorAllocSimpleFileFiler1e3-4       1812          1306          -27.92%
BenchmarkAllocatorRndGetACIDFiler1e3-4            4158          3047          -26.72%
BenchmarkBTreeSetMemFiler1e2-4                    25093         20683         -17.57%
BenchmarkAllocatorAllocACIDFiler1e1-4             4300146       3666822       -14.73%
BenchmarkBTreeSetMemFiler0-4                      22518         19238         -14.57%
BenchmarkAllocatorRndFreeACIDFiler1e1-4           4384437       3766451       -14.09%
BenchmarkBTreeSetMemFiler1e1-4                    22682         19498         -14.04%
BenchmarkMemFilerRdSeq-4                          1888          2169          +14.88%
BenchmarkBTreeSetMemFiler1e3-4                    24512         21377         -12.79%
BenchmarkAllocatorAllocMemFiler1e2-4              584           510           -12.67%
BenchmarkAllocatorRndGetRollbackFiler1e1-4        1959          2212          +12.91%
BenchmarkAllocatorAllocACIDFiler1e2-4             4088780       3626368       -11.31%
BenchmarkAllocatorRndFreeMemFiler1e1-4            2502          2246          -10.23%
BenchmarkAllocatorRndFreeMemFiler0-4              2489          2244          -9.84%
BenchmarkAllocatorRndFreeMemFiler1e2-4            2764          2507          -9.30%
BenchmarkAllocatorAllocMemFiler1e1-4              530           483           -8.87%
BenchmarkBTreeSetACIDFiler0-4                     4061680       3705069       -8.78%
BenchmarkAllocatorAllocACIDFiler0-4               4048443       3710996       -8.34%
BenchmarkAllocatorRndFreeMemFiler1e3-4            2923          2699          -7.66%
BenchmarkAllocatorRndGetMemFiler1e2-4             941           872           -7.33%
BenchmarkAllocatorRndGetACIDFiler1e1-4            1993          2142          +7.48%
BenchmarkAllocatorRndGetRollbackFiler0-4          2002          2151          +7.44%
BenchmarkAllocatorRndGetACIDFiler0-4              1985          2129          +7.25%
BenchmarkBTreeSetACIDFiler1e2-4                   4119577       3846159       -6.64%
BenchmarkAllocatorRndGetMemFiler1e1-4             598           562           -6.02%
BenchmarkAllocatorRndFreeACIDFiler1e2-4           4038721       3814214       -5.56%
BenchmarkAllocatorRndFreeACIDFiler0-4             3787035       3583356       -5.38%
BenchmarkRollbackFiler-4                          4.40          4.65          +5.68%
BenchmarkMemFilerWrRand-4                         5448          5755          +5.64%
BenchmarkAllocatorRndGetMemFiler0-4               586           557           -4.95%
BenchmarkAllocatorRndGetMemFiler1e3-4             1156          1100          -4.84%
BenchmarkBTreeSetACIDFiler1e1-4                   3994640       3801252       -4.84%
BenchmarkAllocatorAllocMemFiler1e0-4              532           507           -4.70%
BenchmarkAllocatorAllocACIDFiler1e3-4             3809395       3634900       -4.58%
BenchmarkAllocatorAllocMemFiler1e3-4              769           736           -4.29%
BenchmarkBTreeSetACIDFiler1e3-4                   4076971       3936825       -3.44%
BenchmarkAllocatorRndFreeACIDFiler1e3-4           3943185       4047580       +2.65%
