$ benchcmp -mag -changed log-bench-2016-07-11-1221-e572829f log-bench-2016-07-24-1458-74c3b196
benchmark                                         old ns/op     new ns/op     delta
BenchmarkBTreePut1-4                              62389         1282          -97.95%
BenchmarkBTreePut8-4                              61530         1329          -97.84%
BenchmarkBTreePut16-4                             61696         1373          -97.77%
BenchmarkBTreePut32-4                             58387         2625          -95.50%
BenchmarkAllocatorRndFreeSimpleFileFiler0-4       15873         6442          -59.42%
BenchmarkAllocatorRndFreeSimpleFileFiler1e1-4     15909         6607          -58.47%
BenchmarkAllocatorRndFreeSimpleFileFiler1e2-4     16737         7348          -56.10%
BenchmarkAllocatorRndGetSimpleFileFiler1e2-4      3413          1561          -54.26%
BenchmarkMemFilerWrRand-4                         66220         129632        +95.76%
BenchmarkAllocatorAllocSimpleFileFiler1e1-4       3269          1719          -47.42%
BenchmarkAllocatorRndGetSimpleFileFiler1e3-4      4132          2243          -45.72%
BenchmarkAllocatorAllocSimpleFileFiler0-4         3271          1810          -44.67%
BenchmarkAllocatorRndFreeSimpleFileFiler1e3-4     17774         9951          -44.01%
BenchmarkAllocatorAllocSimpleFileFiler1e2-4       3416          1918          -43.85%
BenchmarkBTreeGet1-4                              614           1082          +76.22%
BenchmarkBTreeGet32-4                             727           1255          +72.63%
BenchmarkBTreeSetSimpleFileFiler1e2-4             115600        71576         -38.08%
BenchmarkAllocatorRndGetSimpleFileFiler1e1-4      1688          1048          -37.91%
BenchmarkAllocatorRndGetSimpleFileFiler0-4        1646          1022          -37.91%
BenchmarkBTreeSetSimpleFileFiler1e3-4             118683        73793         -37.82%
BenchmarkBTreeGet8-4                              427           676           +58.31%
BenchmarkBTreeGet16-4                             441           691           +56.69%
BenchmarkBTreeSetSimpleFileFiler0-4               101189        66921         -33.87%
BenchmarkBTreeSetSimpleFileFiler1e1-4             101753        67350         -33.81%
BenchmarkRollbackFiler-4                          9.25          13.2          +42.70%
BenchmarkAllocatorRndFreeACIDFiler1e3-4           154155028     113354887     -26.47%
BenchmarkAllocatorRndGetRollbackFiler1e3-4        10973         8301          -24.35%
BenchmarkAllocatorRndGetACIDFiler1e3-4            10032         7893          -21.32%
BenchmarkBTreeSetMemFiler1e2-4                    81878         64427         -21.31%
BenchmarkMemFilerRdRand-4                         48540         61167         +26.01%
BenchmarkAllocatorAllocMemFiler1e1-4              1005          800           -20.40%
BenchmarkBTreeSetRollbackFiler1e1-4               53542893      42893017      -19.89%
BenchmarkAllocatorRndFreeMemFiler1e1-4            4560          3697          -18.93%
BenchmarkAllocatorRndFreeMemFiler0-4              4536          3679          -18.89%
BenchmarkBTreeSetMemFiler1e3-4                    80012         65171         -18.55%
BenchmarkBTreeSetRollbackFiler1e2-4               55207335      45530525      -17.53%
BenchmarkAllocatorRndFreeMemFiler1e2-4            5046          4202          -16.73%
BenchmarkAllocatorRndFreeMemFiler1e3-4            5346          4472          -16.35%
BenchmarkBTreeSetMemFiler0-4                      69735         59058         -15.31%
BenchmarkAllocatorAllocSimpleFileFiler1e3-4       7935          9344          +17.76%
BenchmarkAllocatorAllocMemFiler1e2-4              1110          944           -14.95%
BenchmarkAllocatorAllocACIDFiler1e2-4             109752059     128224956     +16.83%
BenchmarkAllocatorRndFreeACIDFiler1e2-4           124974458     109609716     -12.29%
BenchmarkAllocatorRndFreeRollbackFiler1e3-4       84862180      74626566      -12.06%
BenchmarkBTreeSetMemFiler1e1-4                    66802         59168         -11.43%
BenchmarkAllocatorRndGetRollbackFiler0-4          4616          5158          +11.74%
BenchmarkAllocatorRndFreeRollbackFiler1e2-4       57052848      51130276      -10.38%
BenchmarkAllocatorRndGetMemFiler1e3-4             2520          2270          -9.92%
BenchmarkAllocatorRndGetMemFiler0-4               1097          1003          -8.57%
BenchmarkAllocatorAllocMemFiler1e0-4              964           883           -8.40%
BenchmarkAllocatorRndGetRollbackFiler1e2-4        6504          7097          +9.12%
BenchmarkAllocatorRndGetRollbackFiler1e1-4        4761          5188          +8.97%
BenchmarkAllocatorRndGetMemFiler1e2-4             1715          1577          -8.05%
BenchmarkAllocatorRndGetMemFiler1e1-4             1095          1018          -7.03%
BenchmarkAllocatorRndFreeACIDFiler1e1-4           116914490     108760132     -6.97%
BenchmarkAllocatorRndGetACIDFiler1e1-4            4813          5153          +7.06%
BenchmarkAllocatorAllocMemFiler1e3-4              2132          1992          -6.57%
BenchmarkAllocatorRndGetACIDFiler0-4              4728          4998          +5.71%
BenchmarkBTreeSetACIDFiler1e1-4                   109770670     104029058     -5.23%
BenchmarkAllocatorRndGetACIDFiler1e2-4            6461          6808          +5.37%
BenchmarkAllocatorAllocRollbackFiler1e2-4         42659658      44885965      +5.22%
BenchmarkAllocatorRndFreeRollbackFiler0-4         46103955      48326779      +4.82%
BenchmarkAllocatorAllocRollbackFiler0-4           44100144      46221286      +4.81%
BenchmarkBTreeSetACIDFiler0-4                     107413862     103212528     -3.91%
BenchmarkBTreeSetRollbackFiler0-4                 47988451      46221843      -3.68%
BenchmarkAllocatorRndFreeRollbackFiler1e1-4       43687222      45317995      +3.73%
BenchmarkMemFilerRdSeq-4                          10945         11280         +3.06%
BenchmarkAllocatorAllocACIDFiler0-4               108243596     105692910     -2.36%
BenchmarkBTreeSetACIDFiler1e2-4                   103100307     105549334     +2.38%
BenchmarkBTreeSetRollbackFiler1e3-4               47756563      46862983      -1.87%
BenchmarkAllocatorRndFreeACIDFiler0-4             107960640     110014433     +1.90%
BenchmarkAllocatorAllocACIDFiler1e1-4             109079753     110713125     +1.50%
BenchmarkBTreeSetACIDFiler1e3-4                   105766500     107238849     +1.39%
BenchmarkAllocatorAllocRollbackFiler1e3-4         44952236      45424491      +1.05%
BenchmarkMemFilerWrSeq-4                          9855          9770          -0.86%
BenchmarkAllocatorAllocACIDFiler1e3-4             114116546     114886042     +0.67%
BenchmarkAllocatorAllocRollbackFiler1e1-4         43817840      44063415      +0.56%

benchmark                                         old allocs     new allocs     delta
BenchmarkBTreeSetSimpleFileFiler1e2-4             12             33             +175.00%
BenchmarkBTreeSetSimpleFileFiler1e3-4             12             33             +175.00%
BenchmarkBTreeSetSimpleFileFiler0-4               13             30             +130.77%
BenchmarkBTreeSetSimpleFileFiler1e1-4             13             30             +130.77%
BenchmarkAllocatorRndFreeACIDFiler0-4             59             28             -52.54%
BenchmarkAllocatorRndFreeACIDFiler1e1-4           58             28             -51.72%
BenchmarkBTreeSetACIDFiler1e2-4                   70             41             -41.43%
BenchmarkBTreeSetACIDFiler1e3-4                   83             52             -37.35%
BenchmarkAllocatorRndFreeACIDFiler1e2-4           63             40             -36.51%
BenchmarkAllocatorRndGetACIDFiler0-4              4              6              +50.00%
BenchmarkAllocatorRndGetACIDFiler1e1-4            4              6              +50.00%
BenchmarkAllocatorRndGetACIDFiler1e2-4            4              6              +50.00%
BenchmarkAllocatorRndGetRollbackFiler0-4          4              6              +50.00%
BenchmarkAllocatorRndGetRollbackFiler1e1-4        4              6              +50.00%
BenchmarkAllocatorRndGetRollbackFiler1e2-4        4              6              +50.00%
BenchmarkBTreeGet1-4                              4              6              +50.00%
BenchmarkAllocatorAllocRollbackFiler0-4           5              7              +40.00%
BenchmarkAllocatorAllocRollbackFiler1e1-4         5              7              +40.00%
BenchmarkAllocatorAllocRollbackFiler1e2-4         5              7              +40.00%
BenchmarkBTreeGet32-4                             5              7              +40.00%
BenchmarkAllocatorAllocACIDFiler1e3-4             49             36             -26.53%
BenchmarkBTreeGet16-4                             3              4              +33.33%
BenchmarkBTreeGet8-4                              3              4              +33.33%
BenchmarkBTreePut32-4                             11             14             +27.27%
BenchmarkAllocatorRndFreeRollbackFiler0-4         5              6              +20.00%
BenchmarkAllocatorRndFreeRollbackFiler1e1-4       5              6              +20.00%
BenchmarkAllocatorRndGetACIDFiler1e3-4            5              6              +20.00%
BenchmarkAllocatorRndGetRollbackFiler1e3-4        5              6              +20.00%
BenchmarkBTreeSetRollbackFiler0-4                 10             12             +20.00%
BenchmarkBTreeSetRollbackFiler1e1-4               10             12             +20.00%
BenchmarkBTreeSetRollbackFiler1e2-4               12             14             +16.67%
BenchmarkAllocatorAllocRollbackFiler1e3-4         7              8              +14.29%
BenchmarkBTreePut1-4                              7              8              +14.29%
BenchmarkBTreePut16-4                             7              8              +14.29%
BenchmarkBTreePut8-4                              7              8              +14.29%
BenchmarkAllocatorRndFreeACIDFiler1e3-4           65             58             -10.77%
BenchmarkAllocatorRndFreeRollbackFiler1e3-4       9              10             +11.11%
BenchmarkBTreeSetACIDFiler0-4                     35             38             +8.57%
BenchmarkBTreeSetACIDFiler1e1-4                   35             38             +8.57%
BenchmarkBTreeSetMemFiler1e3-4                    14             13             -7.14%
BenchmarkBTreeSetRollbackFiler1e3-4               16             15             -6.25%
