benchcmp -mag -changed log-bench-2016-07-06-1155-2cbfdfc3 log-bench-2016-07-23-1640-77a0b885-lldb-2016-07-24-1458-74c3b196
benchmark                                 old ns/op      new ns/op      delta
BenchmarkSelectOrderedFile1kBx1e3-4       102033169      61470046       -39.75%
BenchmarkSelectOrderedFile1kBx1e4-4       1316662377     824333246      -37.39%
BenchmarkInsertFile1kBn1e3t1e5-4          2769893958     2018996572     -27.11%
BenchmarkInsertFile1kBn1e3t1e4-4          274719960      207735637      -24.38%
BenchmarkInsertFile1kBn1e3t1e3-4          26976957       20577331       -23.72%
BenchmarkSelectBoolFileX1e3Perc5-4        92095          73172          -20.55%
BenchmarkInsertBoolFileX1e3-4             53707505       45299279       -15.66%
BenchmarkSelectBoolFileNoX1e2Perc50-4     88924          103419         +16.30%
BenchmarkCrossJoinFile1e4X1e3-4           156459902      179864964      +14.96%
BenchmarkSelectOrderedFile1kBx1e2-4       4758429        4152750        -12.73%
BenchmarkInsertFile1kBn1e2t1e4-4          722529504      631988052      -12.53%
BenchmarkInsertFile1kBn1e2t1e3-4          71352626       62687906       -12.14%
BenchmarkSelectBoolMemX1e4Perc50-4        1649984        1450137        -12.11%
BenchmarkSelectBoolFileNoX1e1Perc50-4     10662          12119          +13.67%
BenchmarkSelectBoolFileNoX1e1Perc5-4      10691          12047          +12.68%
BenchmarkCrossJoinFile1e3NoX1e2-4         13530174       15225616       +12.53%
BenchmarkCrossJoinFile1e2NoX1e1-4         212075         237509         +11.99%
BenchmarkCrossJoinFile1e1NoX1e2-4         254102         284315         +11.89%
BenchmarkSelectBoolFileX1e2Perc50-4       58966          65547          +11.16%
BenchmarkIssue99-4                        1949417565     2155951139     +10.59%
BenchmarkSelectBoolFileNoX1e2Perc5-4      93437          102910         +10.14%
BenchmarkSelectFile1kBx1e5-4              427183514      389658196      -8.78%
BenchmarkCrossJoinFile1e2X1e3-4           1112014        1216227        +9.37%
BenchmarkCrossJoinMem1e2X1e1-4            9442           8662           -8.26%
BenchmarkInsertFile1kBn1e2t1e2-4          6872019        6320462        -8.03%
BenchmarkSelectBoolFileX1e1Perc50-4       12878          13966          +8.45%
BenchmarkSelectFile1kBx1e2-4              185643         201029         +8.29%
BenchmarkSelectMem1kBx1e2-4               43501          40276          -7.41%
BenchmarkSelectMem1kBx1e3-4               442179         410326         -7.20%
BenchmarkSelectBoolFileNoX1e3Perc5-4      1768696        1901890        +7.53%
BenchmarkSelectBoolMemX1e4Perc5-4         172098         160109         -6.97%
BenchmarkSelectBoolFileX1e1Perc5-4        7233           6747           -6.72%
BenchmarkCrossJoinFile1e3X1e2-4           1793763        1916985        +6.87%
BenchmarkInsertBoolFileX1e2-4             6106947        5723792        -6.27%
BenchmarkSelectMem1kBx1e4-4               4665237        4379588        -6.12%
BenchmarkCrossJoinFile1e4NoX1e3-4         3299842908     3503532315     +6.17%
BenchmarkInsertFile1kBn1e0t1e2-4          380916760      404191674      +6.11%
BenchmarkSelectBoolMemX1e5Perc50-4        18860857       17800976       -5.62%
BenchmarkInsertBoolFileNoX1e2-4           4232107        4483082        +5.93%
BenchmarkSelectBoolFileNoX1e3Perc50-4     1794981        1896238        +5.64%
