$ benchcmp -mag -changed log-bench-2016-07-06-1155-2cbfdfc3 log-bench-2016-07-23-1640-77a0b885-lldb-2016-07-24-1458-74c3b196
benchmark                                 old ns/op       new ns/op       delta
BenchmarkSelectOrderedFile1kBx1e4-4       3520694868      2058090514      -41.54%
BenchmarkSelectOrderedFile1kBx1e3-4       259922240       152682179       -41.26%
BenchmarkInsertFile1kBn1e1t1e3-4          21961545871     14253669400     -35.10%
BenchmarkInsertBoolFileX1e1-4             110170540       163577675       +48.48%
BenchmarkInsertBoolMemNoX1e5-4            387997749       545377752       +40.56%
BenchmarkSelectBoolFileX1e3Perc5-4        195290          146307          -25.08%
BenchmarkInsertFile1kBn1e3t1e3-4          263591005       220778901       -16.24%
BenchmarkSelectBoolFileNoX1e2Perc50-4     167857          200176          +19.25%
BenchmarkSelectOrderedFile1kBx1e2-4       12224196        10312818        -15.64%
BenchmarkSelectBoolFileNoX1e2Perc5-4      164062          191733          +16.87%
BenchmarkInsertFile1kBn1e3t1e5-4          22850416526     19585235909     -14.29%
BenchmarkInsertFile1kBn1e3t1e4-4          2212227389      1914632523      -13.45%
BenchmarkCrossJoinFile1e4X1e3-4           318636004       366510313       +15.02%
BenchmarkSelectBoolFileNoX1e1Perc5-4      20865           23948           +14.78%
BenchmarkCrossJoinFile1e2NoX1e1-4         442633          495292          +11.90%
BenchmarkInsertBoolFileX1e3-4             240208712       215990945       -10.08%
BenchmarkCrossJoinFile1e1NoX1e2-4         538214          597787          +11.07%
BenchmarkSelectBoolFileNoX1e1Perc50-4     21999           24420           +11.01%
BenchmarkInsertFile1kBn1e2t1e4-4          15013290714     16570912727     +10.37%
BenchmarkSelectBoolFileNoX1e3Perc50-4     4113495         4525079         +10.01%
BenchmarkSelectBoolFileNoX1e3Perc5-4      3992184         4368137         +9.42%
BenchmarkSelectBoolMemX1e2Perc50-4        29248           26785           -8.42%
BenchmarkInsertBoolMemX1e1-4              35635           32640           -8.40%
BenchmarkCrossJoinMem1e4X1e3-4            102458050       93900814        -8.35%
BenchmarkSelectBoolFileX1e2Perc50-4       110070          120031          +9.05%
BenchmarkSelectBoolMemX1e4Perc50-4        2848432         2612699         -8.28%
BenchmarkSelectBoolMemX1e1Perc50-4        8640            7930            -8.22%
BenchmarkCrossJoinFile1e1X1e2-4           69156           63578           -8.07%
BenchmarkInsertMem1kBn1e3t1e5-4           232738389       214700178       -7.75%
BenchmarkSelectBoolFileX1e2Perc5-4        27965           25866           -7.51%
BenchmarkInsertFile1kBn1e1t1e2-4          1474923286      1590696891      +7.85%
BenchmarkSelectBoolFileX1e1Perc50-4       26250           28261           +7.66%
BenchmarkInsertBoolFileNoX1e2-4           113984372       122624062       +7.58%
BenchmarkSelectBoolFileX1e4Perc50-4       23758955        25515747        +7.39%
BenchmarkCrossJoinFile1e3NoX1e2-4         29551767        31717349        +7.33%
BenchmarkInsertBoolMemX1e2-4              306439          285942          -6.69%
BenchmarkSelectBoolMemX1e1Perc5-4         5757            5372            -6.69%
BenchmarkInsertMem1kBn1e3t1e4-4           20176480        18872931        -6.46%
BenchmarkSelectBoolMemX1e5Perc5-4         3097185         2901668         -6.31%
BenchmarkInsertMem1kBn1e3t1e3-4           1978519         1856783         -6.15%
BenchmarkSelectBoolFileNoX1e4Perc5-4      41339517        44037784        +6.53%
BenchmarkSelectBoolMemNoX1e4Perc50-4      10324424        9692975         -6.12%
BenchmarkCrossJoinFile1e3NoX1e4-4         6586272410      7014995773      +6.51%
BenchmarkSelectFile1kBx1e2-4              470794          501016          +6.42%
BenchmarkInsertBoolMemNoX1e2-4            199513          187965          -5.79%
BenchmarkSelectFile1kBx1e3-4              10329776        10951606        +6.02%
BenchmarkInsertBoolFileNoX1e3-4           127766425       120664242       -5.56%
BenchmarkCrossJoinFile1e2NoX1e3-4         55108236        58255817        +5.71%
BenchmarkInsertBoolMemNoX1e3-4            2301271         2178975         -5.31%
BenchmarkSelectBoolMemX1e2Perc5-4         6488            6847            +5.53%
BenchmarkSelectBoolMemNoX1e2Perc50-4      99511           94315           -5.22%
BenchmarkSelectBoolMemNoX1e5Perc50-4      114426199       108543520       -5.14%
BenchmarkCrossJoinFile1e3X1e2-4           4012867         3814820         -4.94%
BenchmarkCrossJoinFile1e4NoX1e3-4         7598242692      7975420158      +4.96%
BenchmarkSelectBoolFileX1e1Perc5-4        14358           15051           +4.83%
BenchmarkInsertBoolMemNoX1e1-4            22798           21757           -4.57%
BenchmarkSelectBoolMemX1e3Perc50-4        254681          243082          -4.55%
BenchmarkInsertFile1kBn1e2t1e2-4          145388622       138842251       -4.50%
BenchmarkSelectBoolFileX1e3Perc50-4       2514649         2622680         +4.30%
BenchmarkSelectBoolMemNoX1e1Perc5-4       14293           13717           -4.03%
BenchmarkInsertMem1kBn1e2t1e4-4           20749930        19935302        -3.93%
BenchmarkCrossJoinFile1e2X1e3-4           2332231         2425929         +4.02%
BenchmarkInsertBoolMemX1e4-4              58086626        55897923        -3.77%
BenchmarkInsertBoolFileNoX1e1-4           110341213       106202901       -3.75%
BenchmarkIssue99-4                        4289458454      4455645723      +3.87%
BenchmarkCrossJoinFile1e3X1e4-4           728739031       756450832       +3.80%
BenchmarkSelectBoolFileX1e4Perc5-4        2743635         2847364         +3.78%
BenchmarkSelectBoolMemNoX1e1Perc50-4      14511           13984           -3.63%
BenchmarkCrossJoinMem1e3X1e4-4            86117022        83031156        -3.58%
BenchmarkSelectBoolFileNoX1e4Perc50-4     42961667        44478821        +3.53%
BenchmarkSelectBoolMemX1e4Perc5-4         290544          280878          -3.33%
BenchmarkCrossJoinMem1e1X1e2-4            15534           15027           -3.26%
BenchmarkCrossJoinMem1e3NoX1e2-4          15646857        15136791        -3.26%
BenchmarkInsertBoolMemX1e5-4              663356330       643138626       -3.05%
BenchmarkCrossJoinMem1e4NoX1e3-4          1647449370      1694819089      +2.88%
BenchmarkCrossJoinMem1e2X1e3-4            606072          590223          -2.62%
BenchmarkSelectMem1kBx1e5-4               94243004        96248763        +2.13%
BenchmarkCrossJoinMem1e2NoX1e1-4          283279          277815          -1.93%
BenchmarkCrossJoinMem1e2X1e1-4            17266           16937           -1.91%
BenchmarkCrossJoinMem1e3NoX1e4-4          1467057435      1440297243      -1.82%
BenchmarkSelectBoolMemNoX1e3Perc5-4       880550          896721          +1.84%
BenchmarkCrossJoinMem1e1NoX1e2-4          321363          315620          -1.79%
